Extrato Conta Corrente
Conta ;72385499
Período ;01/08/2026 a 31/08/2026
Saldo ;3.002,15

Data Lançamento;Histórico;Descrição;Valor;Saldo
01/08/2026;Saldo anterior;;;2.500,00
04/08/2026;Pix recebido;EMPRESA XYZ LTDA;3.200,00;5.700,00
06/08/2026;Pagamento efetuado;CONTA DE LUZ CEMIG;-189,45;5.510,55
07/08/2026;Pix enviado;ALUGUEL - IMOBILIARIA CENTRAL;-1.650,00;3.860,55
10/08/2026;Compra no débito;POSTO SHELL;-200,00;3.660,55
13/08/2026;Pix enviado;JOÃO DA SILVA;-250,00;3.410,55
13/08/2026;Pix enviado;JOÃO DA SILVA;-250,00;3.160,55
19/08/2026;Pagamento efetuado;INTERNET VIVO FIBRA;-129,90;3.030,65
25/08/2026;Rendimento;RENDIMENTO POUPANÇA;18,50;3.049,15
28/08/2026;Compra no débito;FARMÁCIA SÃO JOÃO;-47,00;3.002,15
31/08/2026;Tarifa;TARIFA PACOTE SERVIÇOS;0,00;3.002,15
